widget_type	stateless	stateful	source	zero_size	minimal	clipped	resize	state_transition	snapshot	toolkit	semantics	keyboard	pointer
Wicked.MenuButton	false	true	src/AcceptanceWidgets.jl	test/new_widget_families.jl:menu action toolkit semantics	test/new_widget_families.jl:menu action toolkit semantics	test/new_widget_families.jl:menu action toolkit semantics	test/new_widget_families.jl:menu action toolkit semantics	test/new_widget_families.jl:menu action toolkit semantics	test/new_widget_families.jl:menu action toolkit semantics	test/new_widget_families.jl:menu action toolkit semantics	test/new_widget_families.jl:menu action toolkit semantics	test/new_widget_families.jl:menu action toolkit semantics	test/new_widget_families.jl:menu action toolkit semantics
Wicked.Meter	true	false	src/VisualizationWidgets.jl	test/new_widget_families.jl:visualization toolkit semantics	test/new_widget_families.jl:visualization toolkit semantics	test/new_widget_families.jl:visualization toolkit semantics	test/new_widget_families.jl:visualization toolkit semantics	n/a:stateless render contract	test/new_widget_families.jl:visualization toolkit semantics	test/new_widget_families.jl:visualization toolkit semantics	test/new_widget_families.jl:visualization toolkit semantics	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.NavigationRail	false	true	src/AcceptanceWidgets.jl	test/new_widget_families.jl:navigation view toolkit semantics	test/new_widget_families.jl:navigation view toolkit semantics	test/new_widget_families.jl:navigation view toolkit semantics	test/new_widget_families.jl:navigation view toolkit semantics	test/new_widget_families.jl:navigation view toolkit semantics	test/new_widget_families.jl:navigation view toolkit semantics	test/new_widget_families.jl:navigation view toolkit semantics	test/new_widget_families.jl:navigation view toolkit semantics	test/new_widget_families.jl:navigation view toolkit semantics	test/new_widget_families.jl:navigation view toolkit semantics
Wicked.Pagination	true	true	src/DataWidgets.jl	test/new_widget_families.jl:data navigation toolkit semantics	test/new_widget_families.jl:data navigation toolkit semantics	test/new_widget_families.jl:data navigation toolkit semantics	test/new_widget_families.jl:data navigation toolkit semantics	test/new_widget_families.jl:data navigation toolkit semantics	test/new_widget_families.jl:data navigation toolkit semantics	test/new_widget_families.jl:data navigation toolkit semantics	test/new_widget_families.jl:data navigation toolkit semantics	test/new_widget_families.jl:data navigation toolkit semantics	test/new_widget_families.jl:data navigation toolkit semantics
Wicked.Placeholder	true	false	src/UtilityWidgets.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/acceptance_widgets.jl:developer and empty-state toolkit semantics	test/acceptance_widgets.jl:developer and empty-state toolkit semantics	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Plot	true	false	src/VisualizationWidgets.jl	test/new_widget_families.jl:visualization toolkit semantics	test/new_widget_families.jl:visualization toolkit semantics	test/new_widget_families.jl:visualization toolkit semantics	test/new_widget_families.jl:visualization toolkit semantics	n/a:stateless render contract	test/new_widget_families.jl:visualization toolkit semantics	test/new_widget_families.jl:visualization toolkit semantics	test/new_widget_families.jl:visualization toolkit semantics	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.Popover	true	true	src/ShellWidgets.jl	test/new_widget_families.jl:application shell toolkit semantics	test/new_widget_families.jl:application shell toolkit semantics	test/new_widget_families.jl:application shell toolkit semantics	test/new_widget_families.jl:application shell toolkit semantics	test/new_widget_families.jl:application shell toolkit semantics	test/new_widget_families.jl:application shell toolkit semantics	test/new_widget_families.jl:application shell toolkit semantics	test/new_widget_families.jl:application shell toolkit semantics	test/new_widget_families.jl:application shell toolkit semantics	test/new_widget_families.jl:application shell toolkit semantics
Wicked.Pretty	true	false	src/UtilityWidgets.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	n/a:stateless render contract	test/widget_contracts.jl:Immediate widget dimension contracts	test/acceptance_widgets.jl:developer and empty-state toolkit semantics	test/acceptance_widgets.jl:developer and empty-state toolkit semantics	n/a:stateless render-only contract	n/a:stateless render-only contract
Wicked.ProcessView	true	true	src/StreamingWidgets.jl	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	n/a:no pointer handler
Wicked.ProgressBar	true	true	src/Progress.jl	test/new_widget_families.jl:progress bar toolkit semantics	test/new_widget_families.jl:progress bar toolkit semantics	test/new_widget_families.jl:progress bar toolkit semantics	test/new_widget_families.jl:progress bar toolkit semantics	test/new_widget_families.jl:progress bar toolkit semantics	test/new_widget_families.jl:progress bar toolkit semantics	test/new_widget_families.jl:progress bar toolkit semantics	test/new_widget_families.jl:progress bar toolkit semantics	n/a:tick-driven progress state	n/a:tick-driven progress state
