# Wicked.Experimental reviewed pre-1.0 API
# name<TAB>binding-kind
KittyGraphics	value
LayoutDirection	datatype
LayoutFailure	value
LayoutInvalidation	value
LeftBorder	value
LeftDrawer	value
LeftPopover	value
LinkActivation	datatype
LinkDragEffect	value
LinkRole	value
LinkTarget	datatype
ListBlock	datatype
ListItemRole	value
ListRole	value
LivePoliteness	datatype
LiveReloadManager	datatype
LoadingIndicator	datatype
LoadingIndicatorState	datatype
LoadingPage	value
LoadingReload	value
LoadingSlot	value
LogRole	value
LowerRangeHandle	value
ManagedTaskFailure	datatype
ManagedTaskGroup	datatype
MarkdownAction	datatype
MarkdownBindings	datatype
MarkdownBlock	datatype
MarkdownDiagnostic	datatype
MarkdownDocument	datatype
MarkdownImage	datatype
MarkdownInline	datatype
MarkdownInputResult	datatype
MarkdownLink	datatype
MarkdownLinkPolicy	datatype
MarkdownListItem	datatype
MarkdownPointerEvent	datatype
MarkdownPointerKind	datatype
MarkdownTable	datatype
MarkdownToolkitComponent	unionall
MarkdownViewport	datatype
MaskAlphanumeric	value
MaskAny	value
MaskDigit	value
MaskLetter	value
MaskLiteral	value
MaskToken	datatype
MaskTokenKind	datatype
MemoryClipboard	datatype
MenuItemRole	value
MenuRole	value
MetricsPanel	value
MetricsSnapshot	datatype
MixedValue	value
ModalEntry	unionall
ModalOverlay	value
ModalStack	datatype
ModelessOverlay	value
MotionPolicy	datatype
MoveDragEffect	value
MovedSemanticNode	value
NoBorders	value
NoDragEffect	value
NoGraphics	value
NoWrap	value
NoopTerminalController	datatype
NotCheckable	value
NotificationAction	datatype
NotificationActionDisabled	value
NotificationActionHandled	value
NotificationActionInvoked	value
NotificationActionMissing	value
NotificationActionResult	datatype
NotificationActionStatus	datatype
NotificationAdded	value
NotificationDismissed	value
NotificationEvent	datatype
NotificationEvicted	value
NotificationExpired	value
NotificationLifecycle	datatype
NotificationManager	datatype
NotificationSemanticBinding	datatype
NotificationSnapshot	datatype
NotificationUpdated	value
NullTraceSink	datatype
NumberToken	value
NumericInputState	datatype
OSC52Clipboard	unionall
OSC52ClipboardSelection	value
OSC52PrimarySelection	value
OSC52SecondarySelection	value
OSC52Selection	datatype
OperatorToken	value
OriginalImage	value
OtherFileEntry	value
OverlayAnchor	value
OverlayBlurred	value
OverlayBottom	value
OverlayBottomLeft	value
OverlayBottomRight	value
OverlayCenter	value
OverlayClosed	value
OverlayDismissReason	datatype
OverlayEscaped	value
OverlayFullscreen	value
OverlayGroupReplaced	value
OverlayHandle	datatype
OverlayLayoutRequest	datatype
OverlayLayoutResult	datatype
OverlayLeft	value
OverlayManager	unionall
OverlayModality	datatype
OverlayOptions	datatype
OverlayPlacement	datatype
OverlayRecord	unionall
OverlayReplaced	value
OverlayRight	value
OverlayScreen	value
OverlayShutdown	value
OverlayTop	value
OverlayTopLeft	value
OverlayTopRight	value
PageResult	unionall
PageStatus	datatype
PagedDataSource	unionall
ParagraphBlock	datatype
ParagraphRole	value
PasswordInput	function
PausedAnimation	value
PausedProgress	value
PendingAnimation	value
PendingReload	value
PendingStep	value
PixelFormat	datatype
PlainText	datatype
PlainToken	value
PointerHover	value
PointerLeave	value
PointerPress	value
PoliteAnnouncement	value
PopScreen	datatype
PopoverPlacement	datatype
PopoverResult	datatype
PrefixCompletion	value
ProcessExitError	datatype
ProcessOutputLimitError	datatype
ProcessResult	datatype
ProgressRole	value
ProgressTask	unionall
PunctuationToken	value
PushScreen	unionall
QuoteBlock	datatype
REMOTE_PROTOCOL_VERSION	value
RGB24	value
RGBA32	value
ROUNDED_BORDERS	value
RadioRole	value
RangeSelectionResult	datatype
RangeSliderHandle	datatype
RangeSliderState	datatype
RasterImage	datatype
ReactiveBinding	datatype
ReactiveClassSet	datatype
ReactiveComponentBinding	datatype
ReactiveComponentState	datatype
ReactiveCycleError	datatype
ReactiveElement	unionall
ReactiveInvalidation	datatype
ReactiveInvalidationQueue	datatype
ReactiveNotificationError	datatype
ReactiveValidationError	datatype
ReadClipboardCommand	unionall
ReadyPage	value
ReadySlot	value
RectSplitDirection	datatype
ReducedMotion	value
RegisteredImage	datatype
RegularFileEntry	value
ReloadApplied	value
ReloadEvent	datatype
ReloadFailed	value
ReloadMissing	value
ReloadMissingPolicy	datatype
ReloadOutcome	datatype
ReloadState	datatype
RemoteAck	datatype
RemoteBackend	unionall
RemoteDecoder	datatype
RemoteEvent	datatype
RemoteFrame	datatype
RemoteHello	datatype
RemoteProtocolError	datatype
RemoteProtocolLimits	datatype
RemoteSession	unionall
RemovedSemanticNode	value
RenderFailure	value
RenderInvalidation	value
RenderedLink	datatype
ReplaceScreen	value
ReplaceWithScreen	unionall
ReplayCompleted	value
ReplayController	datatype
ReplayFailed	value
ReplayPaused	value
ReplayReady	value
ReplayResult	datatype
ReplayRunning	value
ReplayStatus	datatype
ResizeHandleState	datatype
ResourceScope	datatype
RethrowBoundary	value
ReverseAnimation	value
RichDocument	datatype
RichLine	datatype
RichRenderStats	datatype
RichSpan	datatype
RichStyleMap	unionall
RichSurface	datatype
RichSurfaceCell	datatype
RightBorder	value
RightDrawer	value
RightPopover	value
RingTraceSink	datatype
RoleRegistry	datatype
RoleStyleResolver	unionall
RoutedEvent	unionall
RowRole	value
RowSplit	value
RuleDirection	datatype
RunningAnimation	value
RunningProgress	value
ScheduledToken	datatype
ScopeCloseReport	datatype
ScreenMode	datatype
ScreenStack	datatype
ScrollEnd	value
ScrollHome	value
ScrollIntoViewSemanticAction	value
ScrollLineDown	value
ScrollLineUp	value
ScrollPageDown	value
ScrollPageUp	value
ScrollbarDirection	datatype
ScrollbarMetrics	datatype
ScrollbarRole	value
ScrollbarState	datatype
SearchboxRole	value
SelectDirectoryMode	value
SelectFileMode	value
SelectMultipleMode	value
SelectSemanticAction	value
SemanticAction	datatype
SemanticActionRequest	datatype
SemanticActionResult	datatype
SemanticAnnouncement	datatype
SemanticBuildError	datatype
SemanticBuilder	datatype
SemanticChange	datatype
SemanticChangeKind	datatype
SemanticDescriptor	datatype
SemanticDiagnostic	datatype
SemanticDispatcher	datatype
SemanticNode	datatype
SemanticPilot	datatype
SemanticQuery	datatype
SemanticQueryError	datatype
SemanticRect	datatype
SemanticRole	datatype
SemanticState	datatype
SemanticTokenKind	datatype
SemanticTree	datatype
SemanticsInvalidation	value
ServiceContribution	value
ServiceFailure	datatype
ServicePulse	datatype
ServiceShutdownReport	datatype
SetValueSemanticAction	value
ShutdownFailure	value
SideBySideDiff	datatype
SideBySideDiffRow	datatype
SixelGraphics	value
SixelPayload	datatype
SkeletonState	datatype
SkippedStep	value
SliderRole	value
SliderState	datatype
SoftBreak	datatype
SortDirection	datatype
SortTerm	datatype
SourcePosition	datatype
SourceRange	datatype
SplitOrientation	datatype
SplitPaneState	datatype
StatusRole	value
StepItem	unionall
StepStatus	datatype
StopTraceRecording	value
StretchImage	value
StrikeInline	datatype
StringToken	value
StrongInline	datatype
StyleDiagnostic	datatype
StyleInvalidation	value
StyleRule	datatype
StyledRichLine	unionall
StyledRichSpan	unionall
StylesPanel	value
Stylesheet	datatype
StylesheetParseError	datatype
SubscriptionFailure	value
SubscriptionInvalidation	value
SymbolicLinkFileEntry	value
SyntaxContribution	value
SyntaxRegistry	datatype
SyntaxToken	datatype
TabListRole	value
TabRole	value
TableLayoutState	datatype
TableRole	value
TagInputState	datatype
TargetPhase	value
TerminalAnimation	datatype
TerminalResetError	datatype
TerminalRole	value
TerminalSessionError	datatype
TerminalSizeError	datatype
TestGraphicsSink	datatype
TextEditAdapter	unionall
TextPoint	datatype
TextSelection	datatype
TextboxRole	value
ThematicBreak	datatype
ThemeChangeEvent	datatype
ThemeChangeReason	datatype
ThemeContribution	value
ThemeEngineBinding	datatype
ThemePreferenceChanged	value
ThemeSelected	value
ThemeSubscription	datatype
ThemeVariant	datatype
TimePickerState	datatype
ToolkitComponentView	unionall
